top - 23:03:21 up 4 days, 11:45,  1 user,  load average: 4.99, 5.71, 4.71
Tasks: 552 total,   1 running, 551 sleeping,   0 stopped,   0 zombie
%Cpu(s): 45.2 us, 25.8 sy,  0.0 ni, 28.0 id,  0.0 wa,  0.0 hi,  1.1 si,  0.0 st
MiB Mem :  15677.3 total,    164.4 free,  11948.5 used,   3564.3 buff/cache
MiB Swap:   1024.0 total,      0.0 free,   1024.0 used.    812.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 443509 vinaypa+  20   0   40.5g 213392  22168 S  68.4   1.3  10:19.65 lens
3851487 root      20   0 3643828  71112   9820 S  63.2   0.4   0:46.07 dockerd
  17894 root      20   0  742596  28824   6904 S  47.4   0.2 164:13.60 cri-doc+
    107 root      20   0       0      0      0 S  15.8   0.0   1:06.26 kswapd0
3865130 vinaypa+  20   0   12596   4132   3132 R  15.8   0.0   0:00.06 top
   4953 vinaypa+  20   0 5792268 526672 145780 S  10.5   3.3 539:05.77 firefox
      1 root      20   0  170176   5944    892 S   5.3   0.0   0:10.40 systemd
    266 root      19  -1  146968  11176   9328 S   5.3   0.1   0:29.14 systemd+
 442229 vinaypa+  20   0   36.6g 165796  22620 S   5.3   1.0  17:02.37 lens
3854153 nobody    20   0 1171596 209640  14184 S   5.3   1.3   0:08.17 prometh+
3856693 root      20   0 1112828 337832  23076 S   5.3   2.1   0:35.89 kube-ap+
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.11 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 S   0.0   0.0   0:40.85 ksoftir+
     14 root      20   0       0      0      0 I   0.0   0.0   5:26.61 rcu_sch+
     15 root      rt   0       0      0      0 S   0.0   0.0   0:03.57 migrati+
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.02 cpuhp/1
     20 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:03.20 migrati+
     22 root      20   0       0      0      0 S   0.0   0.0   4:50.90 ksoftir+
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.03 cpuhp/2
